id,location,location_link,incident_date,report_details,contact_info,report_type,status,latitude,longitude
8270,"أسوان, مصر",https://www.google.com/maps/search/?api=1&query=%D8%A3%D8%B3%D9%88%D8%A7%D9%86%2C%20%D9%85%D8%B5%D8%B1,9/12/2020 0:00,تم الاعتداء علي بالضرب أمام أحد المحلات.,صح,اعتداء,تم الحل,24.091071,32.897306
89266,"أسوان, مصر",https://www.google.com/maps/search/?api=1&query=%D8%A3%D8%B3%D9%88%D8%A7%D9%86%2C%20%D9%85%D8%B5%D8%B1,9/13/2020 0:00,أحد الأشخاص يهددني بنشر صور خاصة مقابل المال.,صح,ابتزاز,تم استلام البلاغ,24.091071,32.897306
61009,"أسوان, مصر",https://www.google.com/maps/search/?api=1&query=%D8%A3%D8%B3%D9%88%D8%A7%D9%86%2C%20%D9%85%D8%B5%D8%B1,9/14/2020 0:00,أحد الأشخاص يهددني بنشر صور خاصة مقابل المال.,صح,ابتزاز,قيد المراجعة,24.091071,32.897306
71717,"أسوان, مصر",https://www.google.com/maps/search/?api=1&query=%D8%A3%D8%B3%D9%88%D8%A7%D9%86%2C%20%D9%85%D8%B5%D8%B1,9/14/2020 0:00,تحرش لفظي وجسدي أثناء خروجي من العمل.,غلط,تحرش,تم الاغلاق,24.091071,32.897306
25731,"أسوان, مصر",https://www.google.com/maps/search/?api=1&query=%D8%A3%D8%B3%D9%88%D8%A7%D9%86%2C%20%D9%85%D8%B5%D8%B1,9/15/2020 0:00,تعرضت لسرقة حقيبتي في الشارع.,غلط,سرقة,قيد المراجعة,24.091071,32.897306
22893,"أسوان, مصر",https://www.google.com/maps/search/?api=1&query=%D8%A3%D8%B3%D9%88%D8%A7%D9%86%2C%20%D9%85%D8%B5%D8%B1,9/15/2020 0:00,تم الاعتداء علي بالضرب أمام أحد المحلات.,غلط,اعتداء,قيد المعالجة,24.091071,32.897306
79678,"أسوان, مصر",https://www.google.com/maps/search/?api=1&query=%D8%A3%D8%B3%D9%88%D8%A7%D9%86%2C%20%D9%85%D8%B5%D8%B1,9/16/2020 0:00,أحد الأشخاص يهددني بنشر صور خاصة مقابل المال.,صح,ابتزاز,تم الحل,24.091071,32.897306
96714,"أسوان, مصر",https://www.google.com/maps/search/?api=1&query=%D8%A3%D8%B3%D9%88%D8%A7%D9%86%2C%20%D9%85%D8%B5%D8%B1,9/17/2020 0:00,أحد الأشخاص يهددني بنشر صور خاصة مقابل المال.,غلط,ابتزاز,تم استلام البلاغ,24.091071,32.897306
16188,"أسوان, مصر",https://www.google.com/maps/search/?api=1&query=%D8%A3%D8%B3%D9%88%D8%A7%D9%86%2C%20%D9%85%D8%B5%D8%B1,9/17/2020 0:00,يوجد شخص يطالبني بمبلغ مالي مقابل عدم فضح أمر شخصي.,غلط,ابتزاز,تم الاغلاق,24.091071,32.897306
34171,"أسوان, مصر",https://www.google.com/maps/search/?api=1&query=%D8%A3%D8%B3%D9%88%D8%A7%D9%86%2C%20%D9%85%D8%B5%D8%B1,9/19/2020 0:00,تمت سرقة نقودي من المحفظة في السوق.,صح,سرقة,تم استلام البلاغ,24.091071,32.897306
